3446,山西青年职业学院,0
3447,运城护理职业学院,0
3448,运城师范高等专科学校,1
3449,朔州师范高等专科学校,2
3450,吕梁职业技术学院,0
3451,内蒙古大学,13
3452,内蒙古科技大学,9
3453,内蒙古工业大学,11
3454,内蒙古农业大学,8
3455,内蒙古医科大学,2
3456,内蒙古师范大学,19
3457,内蒙古民族大学,0
3458,赤峰学院,2
3459,内蒙古财经大学,5
3460,呼伦贝尔学院,3
3461,集宁师范学院,2
3462,河套学院,1
3463,呼和浩特民族学院,1
3464,内蒙古大学创业学院,3
3465,内蒙古师范大学鸿德学院,2
3466,内蒙古艺术学院,20
3467,鄂尔多斯应用技术学院,0
3468,内蒙古建筑职业技术学院,5
3469,内蒙古丰州职业学院,2
3470,包头职业技术学院,4
3471,兴安职业技术学院,0
3472,呼和浩特职业学院,4
3473,包头轻工职业技术学院,11
3474,内蒙古电子信息职业技术学院,4
3475,内蒙古机电职业技术学院,0
3476,内蒙古化工职业学院,0
3477,内蒙古商贸职业学院,0
3478,锡林郭勒职业学院,0
3479,内蒙古警察职业学院,0
3480,内蒙古体育职业学院,1
3481,乌兰察布职业学院,4
3482,通辽职业学院,5
3483,科尔沁艺术职业学院,1
3484,内蒙古交通职业技术学院,0
3485,包头钢铁职业技术学院,2
3486,乌海职业技术学院,5
3487,内蒙古科技职业学院,7
3488,内蒙古北方职业技术学院,0
3489,赤峰职业技术学院,0
3490,内蒙古经贸外语职业学院,5
3491,包头铁道职业技术学院,0
3492,乌兰察布医学高等专科学校,3
3493,鄂尔多斯职业学院,3
3494,内蒙古工业职业学院,0
3495,呼伦贝尔职业技术学院,0
3496,满洲里俄语职业学院,0
3497,内蒙古能源职业学院,0
3498,赤峰工业职业技术学院,5
3499,阿拉善职业技术学院,1
3500,内蒙古美术职业学院,2
3501,内蒙古民族幼儿师范高等专科学校,0
3502,鄂尔多斯生态环境职业学院,0
3503,扎兰屯职业学院,2
3504,辽宁大学,10
3505,大连理工大学,8
3506,沈阳工业大学,21
3507,沈阳航空航天大学,30
3508,沈阳理工大学,15
3509,东北大学,39
3510,辽宁科技大学,4
3511,辽宁工程技术大学,29
3512,辽宁石油化工大学,21
3513,沈阳化工大学,17
3514,大连交通大学,9
3515,大连海事大学,15
3516,大连工业大学,5
3517,沈阳建筑大学,6
3518,辽宁工业大学,2
3519,沈阳农业大学,11
3520,大连海洋大学,10
3521,中国医科大学,20
3522,锦州医科大学,22
3523,大连医科大学,11
3524,辽宁中医药大学,8
3525,沈阳药科大学,9
3526,沈阳医学院,2
3527,辽宁师范大学,23
3528,沈阳师范大学,17
3529,渤海大学,14
3530,鞍山师范学院,10
3531,大连外国语大学,8
3532,东北财经大学,35
3533,中国刑事警察学院,2
3534,沈阳体育学院,3
3535,沈阳音乐学院,1
3536,鲁迅美术学院,1
3537,辽宁对外经贸学院,6
3538,沈阳大学,9
3539,大连大学,30
3540,辽宁科技学院,6
3541,辽宁警察学院,1
3542,沈阳工程学院,7
3543,辽东学院,4
3544,大连民族大学,10
3545,大连理工大学城市学院,3
3546,沈阳工业大学工程学院,0
3547,沈阳航空航天大学北方科技学院,0
3548,沈阳工学院,12
3549,大连工业大学艺术与信息工程学院,0
3550,大连科技学院,8
3551,沈阳城市建设学院,0
3552,中国医科大学临床医药学院,0
3553,大连医科大学中山学院,5
3554,辽宁医学院医疗学院,3
3555,辽宁师范大学海华学院,2
3556,辽宁理工学院,3
3557,大连财经学院,7
3558,沈阳城市学院,2
3559,辽宁科技大学信息技术学院,0
3560,辽宁石油化工大学顺华能源学院,0
3561,大连艺术学院,4
3562,辽宁中医药大学杏林学院,0
3563,辽宁何氏医学院,9
3564,沈阳化工大学科亚学院,0
3565,大连东软信息学院,10
3566,辽宁财贸学院,0
3567,辽宁传媒学院,0
3568,营口理工学院,3
3569,朝阳师范高等专科学校,2
3570,抚顺师范高等专科学校,2
3571,锦州师范高等专科学校,5
3572,营口职业技术学院,5
3573,铁岭师范高等专科学校,3
3574,大连职业技术学院,17
3575,辽宁农业职业技术学院,6
3576,抚顺职业技术学院,7
3577,辽阳职业技术学院,0
3578,阜新高等专科学校,0
3579,辽宁省交通高等专科学校,5
3580,辽宁税务高等专科学校,1
3581,盘锦职业技术学院,2
3582,沈阳航空职业技术学院,1
3583,辽宁体育运动职业技术学院,0
3584,辽宁职业学院,3
3585,辽宁林业职业技术学院,0
3586,沈阳职业技术学院,1
3587,辽宁理工职业学院,2
3588,大连商务职业学院,1
3589,辽宁金融职业学院,1
3590,辽宁轨道交通职业学院,1
3591,辽宁广告职业学院,1
3592,辽宁机电职业技术学院,3
3593,辽宁经济职业技术学院,7
3594,辽宁石化职业技术学院,7
3595,渤海船舶职业学院,5
3596,大连软件职业学院,7
3597,大连翻译职业学院,0
3598,辽宁商贸职业学院,1
3599,大连枫叶职业技术学院,4
3600,辽宁装备制造职业技术学院,3
3601,辽河石油职业技术学院,0
3602,辽宁地质工程职业学院,3
3603,辽宁铁道职业技术学院,0
3604,辽宁建筑职业学院,5
3605,大连航运职业技术学院,6
3606,大连装备制造职业技术学院,0
3607,大连汽车职业技术学院,0
3608,辽宁现代服务职业技术学院,3
3609,辽宁冶金职业技术学院,1
3610,辽宁工程职业学院,3
3611,辽宁城市建设职业技术学院,8
3612,辽宁医药职业学院,0
3613,铁岭卫生职业学院,0
3614,沈阳北软信息职业技术学院,4
3615,辽宁政法职业学院,1
3616,辽宁民族师范高等专科学校,0
3617,辽宁轻工职业学院,0
3618,辽宁水利职业学院,0
3619,辽宁特殊教育师范高等专科学校,0
3620,吉林大学,25
3621,延边大学,9
3622,长春理工大学,18
3623,东北电力大学,11
3624,长春工业大学,23
3625,吉林建筑大学,21
3626,吉林化工学院,11
3627,吉林农业大学,38
3628,长春中医药大学,4
3629,东北师范大学,46
3630,北华大学,18
3631,通化师范学院,12
3632,吉林师范大学,11
3633,吉林工程技术师范学院,1
3634,长春师范大学,10
3635,白城师范学院,1
3636,吉林财经大学,19
3637,吉林体育学院,4
3638,吉林艺术学院,21
3639,吉林华桥外国语学院,6
3640,吉林工商学院,5
3641,长春工程学院,6
3642,吉林农业科技学院,6
3643,吉林警察学院,2
3644,长春大学,7
3645,长春光华学院,4
3646,长春工业大学人文信息学院,0
3647,长春理工大学光电信息学院,3
3648,长春财经学院,0
3649,吉林建筑大学城建学院,4
3650,长春建筑学院,1
3651,长春科技学院,5
3652,吉林动画学院,3
3653,吉林师范大学博达学院,3
3654,长春大学旅游学院,1
3655,东北师范大学人文学院,23
3656,吉林医药学院,2
3657,辽源职业技术学院,3
3658,四平职业大学,0
3659,长春汽车工业高等专科学校,4
3660,长春金融高等专科学校,8
